id,Accident_Latitude,Accident_Longitude,Accident_Type
308,34.412167,133.518167,﻿運航不能（絡索）
309,34.4083,133.54,﻿衝突
310,26.23,127.325,﻿乗船者死亡
311,32.806667,128.93,﻿乗揚
312,33.183333,129.07,﻿運航阻害
313,26.2417,127.36,﻿乗客負傷
314,34.499,133.5097,﻿衝突（岸壁）
315,34.41,133.519,﻿旅客負傷
316,26.228,127.6685,﻿運航阻害
317,34.455,133.413,﻿衝突
318,32.845,129.0617,﻿乗組員負傷
319,34.382,133.276,﻿座洲
320,34.74833,134.63517,﻿衝突
321,34.4317,133.5033,﻿衝突（桟橋）
322,26.228,127.335,﻿乗揚
323,26.12583,127.65667,﻿乗揚
324,33.179,129.085,﻿運航阻害
325,34.2953,133.7053,﻿運航不能（燃料供給不能）
326,34.3906,133.283,﻿衝突（桟橋）
327,34.3622,133.7188,﻿衝突（岸壁）
328,34.42,133.5,﻿のり養殖施設損傷
329,32.857,129.008,﻿運航不能（機関損傷）
330,34.455,134.32,﻿衝突（ドルフィン）
331,34.4567,133.4083,﻿衝突
332,34.39333,133.26167,﻿衝突（桟橋）
333,35.3333,139.711,﻿火災
334,33.7883,131.99,﻿旅客負傷
335,34.125,133.5333,﻿衝突（防波堤）
336,34.285,132.475,﻿衝突（桟橋）
337,34.325,132.458,﻿衝突
338,33.957333,132.13333,﻿衝突（ドルフィン）
339,34.12583,133.6383,﻿衝突
340,33.877667,132.070333,﻿浸水
341,34.3018,132.3218,﻿運航阻害（操縦不能）
342,34.05,131.7983,﻿衝突（岸壁）
343,33.7917,132.057,﻿衝突（岸壁）
344,34.3037,132.32,﻿衝突（桟橋）
345,33.996,133.365,﻿衝突（桟橋）
346,34.125,133.5334,﻿衝突（桟橋）
347,34.351833,132.456667,﻿乗揚
348,35.45,139.64,﻿火災
349,35.4134,139.6547,﻿DÌ²¸ñ
350,34.306667,132.321667,﻿衝突
351,34.285,132.475,﻿運航阻害
352,35.382,139.687,﻿運航不能（燃料供給不能）
353,34.0518,131.7685,﻿衝突（灯浮標）
354,33.885,132.082,﻿運航不能（機関損傷）
355,33.9567,132.1333,﻿衝突（岸壁）
356,35.4317,139.695,﻿衝突
357,34.313333,132.3416667,﻿衝突（かき筏）
358,34.303333,132.323333,﻿旅客負傷
359,34.3,132.31667,﻿座洲
360,33.96,132.205,﻿漁具損傷
361,33.98333,133.3467,﻿衝突
362,34.392,132.454,﻿衝突（吊足場）
363,33.96,132.13333,﻿運航阻害
364,35.3485,139.66,﻿乗揚
365,33.8833,132,﻿衝突
366,34.3416667,132.4666667,﻿衝突（防波堤）
367,34.2372,133.4919,﻿衝突
368,34.169,132.179,﻿衝突
369,34.318333,132.475,﻿浸水
370,34.325,132.373,﻿乗船者負傷
371,34.05,131.7983,﻿衝突（岸壁）
372,35.452,139.646,﻿火災
373,34.3155,132.4297,﻿衝突（防波堤）
374,35.3317,139.6417,﻿わかめ養殖施設損傷
375,34.2933,132.4733,﻿衝突
376,34.0234,131.7834,﻿衝突
377,33.928,131.975,﻿乗揚
378,35.448167,139.643333,﻿衝突（岸壁）
379,34.26,132.407,﻿乗揚
380,33.875,132.0667,﻿衝突（岸壁）
381,34.23167,133.256,﻿火災
382,35.450167,139.681867,﻿運航阻害
383,35.4467,139.6518,﻿沈没
384,33.946,132.169,﻿運航不能（操舵機損傷）
385,33.956,132.132,﻿衝突
386,34.331667,132.358333,﻿衝突
387,34.2667,132.5,﻿乗揚
388,35.44667,139.65183,﻿衝突（桟橋）
389,34.285,132.4383,﻿衝突（桟橋）
390,34.31633,132.338,﻿衝突（えい航索）
391,34.3667,132.4417,﻿衝突
392,33.457333,132.415167,﻿衝突（桟橋）
393,32.6483,128.9109,﻿運航阻害
394,32.702,128.855,﻿運航阻害
395,32.696667,128.85,﻿衝突（桟橋）
396,41.36667,140.35,﻿運航阻害
397,32.698333,128.85,﻿衝突（防波堤）
398,33.51217,129.9743,﻿浸水
399,41.8083,140.71,﻿潜水士死亡
400,32.6966,128.8519,﻿乗組員負傷
401,32.6963,128.85,﻿衝突（桟橋）
402,41.7783,140.7185,﻿衝突（岸壁）
403,33.344,129.804,﻿運航不能（舵故障）
404,41.8067,140.71,﻿乗組員負傷
405,33.4573,132.4167,﻿衝突（陸上クレーン等）
406,33.595,129.897,﻿旅客負傷
407,33.568167,130.06,﻿乗揚
408,32.744833,128.912167,﻿船体傾斜
409,33.58,129.95,﻿運航阻害
410,41.7984,140.7118,﻿衝突
411,32.697,128.852,﻿衝突
412,33.4536,129.9802,﻿運航不能（推進器損傷）
413,41.805,140.712,﻿衝突（桟橋）
414,33.6067,130.0205,﻿安全阻害
415,33.4575,132.4163,﻿乗組員負傷
416,41.7933,140.7183,﻿衝突（岸壁）
